cond_s,mean,sd,upper_pct,lower_pct,n
other_5,-0.0404176018501899,0.727531625875733,0.961608873617783,-0.983894907894452,5
other_15,-0.131797078808425,0.705469062394579,0.957501852073076,-0.951714579440763,5
other_25,-0.227803666221271,0.600162252651072,0.943451512851004,-0.977589333189801,5
other_35,-0.058960242721922,0.680719052141716,0.967122569657072,-0.970272916142136,5
other_45,-0.0720634895887399,0.696296091137584,0.929630519830524,-0.981241030139978,5
other_55,-0.0852633666832247,0.635838056999912,0.885822768126671,-0.922697872381832,5
other_65,-0.0684005623075438,0.707593278895482,0.977384726755633,-0.977734298804451,5
other_75,-0.151520448054143,0.654525873760934,0.955339656605449,-0.935835054136958,5
other_85,-0.383870812849013,0.563907533786448,0.807875919686485,-0.94721663987046,5
other_95,-0.372211194862782,0.540877187942664,0.757659595483535,-0.942615655346692,5
