cond_s,mean,sd,upper_pct,lower_pct,n
other_5,0.0555535987076622,0.116168491380552,0.317876134383206,-0.115289653751654,5
other_15,0.0544944397902854,0.078967859101683,0.218111185508567,-0.0955893043316366,5
other_25,0.0508476567209165,0.0539692009712286,0.125206304726311,-0.0693457375839184,5
other_35,0.0459984326188694,0.0562356496517402,0.156435691425373,-0.060813832136314,5
other_45,0.0445858303001002,0.0502096903695162,0.13457287152864,-0.0341530600983884,5
other_55,0.0421953236200379,0.0434547042652094,0.129317472993801,-0.0552523752068471,5
other_65,0.0460296763485133,0.0368790881853603,0.10765808196195,-0.0216757341109023,5
other_75,0.0462888866841701,0.026707503080895,0.105503788089093,-0.00504240275379129,5
other_85,0.046741241849453,0.0174955872904276,0.0778170652849574,0.0152092509374645,5
other_95,0.0491361958929949,0.0103081439146112,0.0676679821941879,0.0308335389473685,5
