cond_s,mean,sd,upper_pct,lower_pct,n
other_10,0.0582580284971105,0.107042852394599,0.281521821685496,-0.220958729648855,5
other_20,0.0568486702727136,0.0693767358862359,0.169098992557252,-0.0831763237078878,5
other_30,0.0471681976411338,0.0617858289076844,0.173075911446989,-0.0398568661674299,5
other_40,0.0458037256995452,0.0501698718375074,0.136751590709288,-0.074677767656234,5
other_50,0.0461380208323884,0.0461299449834105,0.130025995949618,-0.0569964627261068,5
other_60,0.0433186124225571,0.0379885788756543,0.10906389336972,-0.033116698745547,5
other_70,0.0472499726284118,0.0339794087314419,0.102619955190549,-0.0218086829538349,5
other_80,0.046888333304524,0.023331835522068,0.0950382539387405,0.00237386658457384,5
other_90,0.04761797108266,0.0133774135491858,0.0809282973546792,0.0287051839117332,5
other_100,0.0509578070624384,0.00393365878492274,0.0577270315459543,0.0433453204447329,5
