cond_s,mean,sd,upper_pct,lower_pct,n
other_10,-0.0481983684512877,0.705937045430093,0.96450080964068,-0.997845814190913,5
other_20,-0.174611433789367,0.67624050529219,0.927346440118291,-0.963731931379168,5
other_30,-0.228585802348801,0.684734201170082,0.848680159985347,-0.985049615869844,5
other_40,-0.171772813375403,0.674593284753593,0.969459512202384,-0.945678031220738,5
other_50,-0.0331584721512853,0.689447050524111,0.977974300134994,-0.971472852606989,5
other_60,-0.0727820754637531,0.62444920323186,0.892690249418935,-0.928350416609624,5
other_70,-0.128386558803944,0.693610906196139,0.963989002118554,-0.96697633456999,5
other_80,-0.158616402336579,0.678302074977795,0.983161982580067,-0.949769431850569,5
other_90,-0.366047439650333,0.58212942848772,0.942102271269713,-0.944897176121764,5
other_100,-0.386013281043241,0.519326665957677,0.672549882838944,-0.904383602027903,5
