cond_s,mean,sd,upper_pct,lower_pct,n
other_5,-0.0358365136722262,0.167790315832971,0.280452651269048,-0.244675546045238,5
other_15,-0.0164435350759357,0.0900145093670124,0.167758827092063,-0.154806972003968,5
other_25,-0.0187621822587905,0.0676137438579869,0.0900543646876189,-0.138782839210952,5
other_35,-0.0279888443721361,0.0598877379125411,0.10643792780136,-0.124448581387415,5
other_45,-0.0278944108390133,0.0487596761329835,0.0566517948021163,-0.113354040926984,5
other_55,-0.0289991427814325,0.0467093543977476,0.0484064066430736,-0.137902030112121,5
other_65,-0.0240512601247609,0.0357505131682584,0.0467904738510989,-0.105607841503205,5
other_75,-0.0252371648779172,0.0280884738248133,0.013903619031746,-0.0725388083287302,5
other_85,-0.025786747723274,0.0205628527241124,0.0231474167764705,-0.0603846653810225,5
other_95,-0.0254607250854625,0.0114971822755352,-0.00393646833878452,-0.0530980906072682,5
