cond_s,mean,sd,upper_pct,lower_pct,n
other_5,0.0867812193175967,0.656756853924558,0.974666961271302,-0.950532936264203,5
other_15,0.186579507153512,0.6445428925011,0.957184066834043,-0.927275931109993,5
other_25,0.318876707588896,0.598466162259823,0.97094423739791,-0.82742957162746,5
other_35,0.44409487503975,0.514302882442346,0.970656677636998,-0.823799615537222,5
other_45,0.491821163060074,0.480928853624033,0.983061785018586,-0.628870067861439,5
other_55,0.566269252162798,0.42032933231911,0.977111359815221,-0.498822871700581,5
other_65,0.635762632290682,0.357220891488605,0.983819275707075,-0.418509014091486,5
other_75,0.647831784792321,0.346842724338229,0.9848026697737,-0.387164591913193,5
other_85,0.683952448039225,0.328889098909569,0.985596580623324,-0.276602169719585,5
other_95,0.6956158172546,0.290994940356827,0.983189265796846,-0.0960858623576533,5
