id,cond,n_trials,mean,sd,aSEM,bSEM
a,other,100,0.0373658267375,0.445356428370381,0.0445356428370381,0.0438383821620669
b,other,100,0.118552816155952,1.15226391855145,0.115226391855145,0.111996041224667
c,other,115,-0.370817457649068,0.832627737966254,0.0776429369127788,0.0755998662861456
d,other,102,0.0415322691199813,0.591753801557553,0.0585923572659317,0.0590760629201482
e,other,100,0.0484267508916665,1.87202893845052,0.187202893845052,0.18563941509263
