cond_s,mean,sd,upper_pct,lower_pct,n
other_10,0.14759752133613,0.643739893972057,0.959381373317704,-0.938301794535543,5
other_20,0.209286668273761,0.608937768418915,0.957884530593014,-0.881475425915277,5
other_30,0.383265560280818,0.529620798582694,0.978821414023359,-0.757369042095383,5
other_40,0.487858595614416,0.454124624069879,0.982043800801402,-0.5720619710911,5
other_50,0.522933281387284,0.473907346816014,0.978877392903304,-0.577289227532603,5
other_60,0.598243853390827,0.400433071932681,0.983567542023374,-0.476792394477661,5
other_70,0.640619910491123,0.359688621147915,0.988268298256742,-0.38327383699633,5
other_80,0.664417225877984,0.336763575130258,0.993077465728642,-0.296100016462908,5
other_90,0.683966769995738,0.308787686004804,0.987151039364725,-0.177294875051935,5
other_100,0.720587867223131,0.278808134783975,0.977715847369518,-0.128076296469477,5
