cond_s,mean,sd,upper_pct,lower_pct,n
other_10,-0.0325831973037036,0.125687140951748,0.167455108422619,-0.261614388196429,5
other_20,-0.0138297855356798,0.0754852498589885,0.142980377673214,-0.149061956218452,5
other_30,-0.0287503961728877,0.0640462374306468,0.113982779849603,-0.133613566555159,5
other_40,-0.0272317375014456,0.0507765659179576,0.0441100095821429,-0.136549116410119,5
other_50,-0.0250488019179646,0.0496137537292968,0.0475114901595238,-0.113488888483572,5
other_60,-0.0245921704979417,0.0405258423707886,0.0565799093105158,-0.124140192069048,5
other_70,-0.022453758927739,0.0334881674430782,0.0371500403098639,-0.092419198284864,5
other_80,-0.0237567060413825,0.0230652014433079,0.0219758191968005,-0.0665327449394346,5
other_90,-0.0232217770123045,0.0159585560253342,0.00850398057328032,-0.0532949051887567,5
other_100,-0.0244039462915707,0.00557139523484314,-0.0136785932296429,-0.0319744982459524,5
